CODICE ARTICOLO   ;DESCRIZIONE ARTICOLO   ;PREZZO          
     0518067   ;S/G RIGONI BIO FRAGOLE/MENTA 330G                                       ;3,98                   
     0188177   ;S/G RIGONI BIO FRUTTI BOSCO 330G                                        ;3,98                   
     0404308   ;S/G RIGONI BIO LAMPONI T330                                             ;3,98                   
     0133066   ;S/G RIGONI BIO MIRTILLI NERI 330G                                       ;3,98                   
     0202434   ;S/G RIGONI BIO MIRTILLI ROSSI 330G                                      ;3,98                   
     0411883   ;S/G RIGONI BIO MORE T330                                                ;3,98                   
     0265472   ;S/G RIGONI BIO PESCA T330                                               ;3,98                   
     0404310   ;S/G RIGONI BIO PRUGNE 330G                                              ;3,98                   
     0478254   ;S/G RIGONI BIO SAMBUCO 330G                                             ;3,98                   
     0027951   ;CAMEO BUDINO AMARETTO X2                                                ;1,25                   
     0057882   ;CAMEO BUDINO CIOCC.X2                                                   ;1,25                   
     0256663   ;CAMEO BUDINO CR.CIOC.FOND.T176                                          ;1,42                   
     0155042   ;CAMEO BUDINO CREMOSO CIOC.T180                                          ;1,42                   
     0156349   ;CAMEO BUDINO CREMOSO VAN.T130                                           ;1,42                   
     0225360   ;CAMEO BUDINO PISTACCHIO 122G                                            ;1,42                   
     0057885   ;CAMEO BUDINO VANIGLIA X2                                                ;1,25                   
     0027927   ;CAMEO PREP.CREM CARAMEL X2                                              ;1,42                   
     0282850   ;SAIWA CIPSTER MULTIPACK 6 BS X 22 GR                                    ;2,06                   
     0516338   ;BALOCCO UOVO INTER GR. 240                                              ;11,04                  
     0434219   ;BALOCCO UOVO LATTE JUVE G240                                            ;11,04                  
     0503572   ;BALOCCO UOVO MILAN GR. 240                                              ;11,04                  
     0542087   ;IL VECCHIO FORNO RAMO PRIMAV CIOCC G750                                 ;4,24                   
     0515927   ;LINDT GOLD BUNNY STICK X5 10G                                           ;3,79                   
     0601478   ;PERNIGOTTI BUSTA OVETTI GIANDUIA G140                                   ;3,51                   
     0601469   ;PERNIGOTTI BUSTA OVETTI LATTE G140                                      ;3,51                   
     0601505   ;PERNIGOTTI BUSTA OVETTI PISTACCHIO G140                                 ;3,51                   
     0502818   ;PREZIOSI OVETTO PRINCIP-SUPERM. G40                                     ;2,38                   
     0541662   ;ROVELLI BUSTA OVETTI CONFETTATI G130                                    ;2,68                   
     0023745   ;M/BIANCO PANGRI' GRISSINI CLASS. GR.300                                 ;1,80                   
     0452453   ;M/BIANCO PANGRI' INTEGRALI G250                                         ;1,80                   
     0023535   ;PAVESI CRACKER N/SALATI 560G                                            ;2,06                   
     0023507   ;PAVESI CRACKER SALATI 560G                                              ;2,06                   
     0513311   ;M/BIANCO GRANBAULETTO INTEGR.NOCI G465                                  ;2,34                   
     0419145   ;M/BIANCO GRANBAULETTO RUSTICO 500G                                      ;2,21                   
     0139302   ;M/BIANCO PAGNOTTELLE X6 T360                                            ;1,89                   
     0222641   ;M/BIANCO PAN CARRE' X24 430G                                            ;1,00                   
     0483666   ;M/SPADONI FARINA GR.TEN.00 ANTIGRUMI KG1                                ;1,38                   
     0508798   ;DE CECCO BUCATINI N.15 GR.500                                           ;1,10                   
     0573705   ;DE CECCO CONCHIGLIETTE 53 G500                                          ;1,10                   
     0029209   ;DE CECCO FUSILLI 34 T500                                                ;1,10                   
     0029087   ;DE CECCO LINGUINE 7 G500                                                ;1,10                   
     0029111   ;DE CECCO MEZZE PENNE RIG. 141 T500                                      ;1,10                   
     0029129   ;DE CECCO PENNE RIG. 41 T500                                             ;1,10                   
     0029041   ;DE CECCO SPAGHETTI 12 T500                                              ;1,10                   
     0029011   ;DE CECCO SPAGHETTINI 11 G500                                            ;1,10                   
     0222791   ;DE CECCO SPAGHETTONI 412 T500                                           ;1,10                   
     0029161   ;DE CECCO TORTIGLIONI 23 G500                                            ;1,10                   
     0028027   ;GALLO RISO ARBORIO CHICCHI GROSSI T1                                    ;2,52                   
     0378875   ;COLOMBARA OLIO EX/VERGINE 750                                           ;6,30                   
     0560202   ;BARILLA RAGU BOLOGNESE G300                                             ;1.75
     0560200   ;BARILLA RAGU CONTADINO G300                                             ;1.75
     0560203   ;BARILLA RAGU' MONTANARO G300                                            ;1.75
     0560201   ;BARILLA RAGU SALSICCIA G300                                             ;1.75
     0560199   ;BARILLA SUGO AMATRICIANA G300                                           ;1.75
     0441418   ;STAR BRODO LIQUIDO CARNE MISTA LT1                                      ;1,91                   
     0441417   ;STAR BRODO LIQUIDO MANZO LT1                                            ;1,91                   
     0442285   ;STAR BRODO LIQUIDO MANZO-30% SALE 1LT                                   ;1,91                   
     0442286   ;STAR BRODO LIQUIDO POLLO 1LT                                            ;1,91                   
     0441416   ;STAR BRODO LIQUIDO VERDURE LT 1                                         ;1,91                   
     0532610   ;CALVE' MAIONESE CLASSICA VV G428                                        ;2,41                   
     0254868   ;CIRIO POLPA LA FINISSIMA GR.400X3                                       ;2,38                   
     0030273   ;MUTTI PASSATA POMODORO T700                                             ;1,40                   
     0202427   ;VALFRUTTA BORLOTTI 140X3                                                ;2,27                   
     0423949   ;VALFRUTTA CECI VAPORE 140X3                                             ;2,27                   
     0375415   ;VALFRUTTA FARRO VAPORE 140GX3                                           ;2,27                   
     0423948   ;VALFRUTTA LENTICCHIE AL VAPORE 140GX3                                   ;2,27                   
     0202425   ;VALFRUTTA PISELLI PICCOLI T140X3                                        ;2,55                   
     0146476   ;MARUZZELLA TONNO O/O T80X4                                              ;4,84                   
     0196640   ;SANT'ANNA ACQUA NATUR.LT.1,5                                            ;0,37                   
     0037021   ;ULIVETO ACQUA PET LT1,5                                                 ;0,58                   
     0270365   ;PFANNER A+C+E LT.1                                                      ;1,49                   
     0543542   ;PFANNER AMARENA LT.1                                                    ;1,80                   
     0487356   ;PFANNER ANANAS COCCO LT.1                                               ;1,49                   
